id,name,chapter,title,dialogue,objective,reward,metric,target,stones,xp
0,静坐听息,第一章 · 初入仙途,静坐听息,既已醒来，便莫急着四处奔走。先积累修为经验，再闭目静坐，将所得修为真正化为自身根基。,闭关累计30秒，并积累20点闭关进度。,灵石 ×10、回春丹 ×1,cultivate,30,10,0
1,吐纳有法,第一章 · 初入仙途,吐纳有法,只知积累，不知运转，所得终究只是身外之物。去看看你的功法，消耗修为经验将《吐纳术》参悟一层。,将吐纳术提升至2层。,灵石 ×20、修为经验 ×65,mind,2,20,65
2,竹岭试锋,第一章 · 初入仙途,竹岭试锋,山中那几只竹灵算不得妖魔，却正好替你试试手脚。选定目标，莫要贪多，先胜三场。,击败竹灵3次。,灵石 ×20、凝露草 ×3、赤铜矿石 ×3、凡品装备 ×1,enemy:0,3,20,0
3,衣甲随身,第一章 · 初入仙途,衣甲随身,修行人也并非铜皮铁骨。所得之物若只堆在行囊里，便与石头无异。挑一件合适的穿上吧。,穿戴任意一件装备。,灵石 ×15、回春丹 ×1,equipment,1,15,0
4,三敌皆识,第一章 · 初入仙途,三敌皆识,只会对付一种敌人，算不得历练。青竹岭中另有灵雀与竹傀，认清它们的长处，也认清自己的短处。,竹灵、青羽灵雀、翠节竹傀各击败1次。,灵石 ×30、修为经验 ×120,first_map,3,30,120
5,道外有术,第二章 · 百艺养道,道外有术,修仙不只在打坐斗法。垂钓、采药、采矿，皆能从天地间取一分造化。任选一门，亲手做上几次。,完成任意采集类杂学3次。,灵石 ×25、凝露草 ×4、赤铜矿石 ×4,gather,3,25,0
6,丹火初燃,第二章 · 百艺养道,丹火初燃,伤势不可尽托付于运气。你手中已有几株灵草，试着炼成一枚回春丹，日后气血衰弱时自会用得上。,炼制回春丹1枚。,灵石 ×30、回春丹 ×2,crafted:alchemy_heal_pill,1,30,0
7,灵石有去处,第二章 · 百艺养道,灵石有去处,坊市里的东西未必便宜，却能省去不少年月。带上灵石去看看，买什么由你决定。,在坊市购买任意商品1次。,灵石 ×50、回春丹 ×1,purchases,1,50,0
8,留下退路,第二章 · 百艺养道,留下退路,天有不测，记忆也会随风而散。虽有天道时时替你记下经历，亲手留一份存档，总归稳妥。,调整一次音乐音量，并手动保存游戏1次。,灵石 ×20,saves,1,20,0
9,雾涧猿影,第三章 · 破境远行,雾涧猿影,雾隐涧中的幽猿力大而性躁，正适合磨炼你临敌时的耐心。不要只求一胜，连续击败十只，看看自己能否稳住阵脚。,击败涧水幽猿10次。,灵石 ×60、修为经验 ×180,enemy:5,10,60,180
10,山祠除傀,第三章 · 破境远行,山祠除傀,破山祠中的邪傀不知疼痛，也不会畏惧。与这等死物交手，最能看出你的攻守是否真正成形。去拆掉十具。,击败祠中邪傀10次。,灵石 ×80、回春丹 ×2,enemy:7,10,80,0
11,剑渊妖鸦,第三章 · 破境远行,剑渊妖鸦,葬剑渊外已有妖鸦以残剑为食。若连这些巡游之物都压不住，便莫谈深入绝境。斩下十只，再回来见我。,击败噬剑妖鸦10次。,灵石 ×120、神行符 ×2,enemy:32,10,120,0
12,炼气圆满,第三章 · 破境远行,炼气圆满,境满则滞。将修为推至炼气期十二层，再闭关至进度圆满，随后去寂灭冰原击败玄霜古蛟，夺得它守护的筑基丹。,达到炼气期十二层、闭关进度圆满并持有筑基丹。,灵石 ×40,break_ready,1,40,0
13,一步筑基,第三章 · 破境远行,一步筑基,经脉已满，灵台已定。现在去破镜。成与不成不在天意，只在你此前是否准备周全。,完成第一次破境。,灵石 ×80、精良装备 ×1、修为经验 ×240,level,13,80,240
14,择宗问道,第三章 · 破境远行,择宗问道,筑基之后，散修之路愈发艰险。太清宗守正持身，幽冥教以战证道；前往宗门，在正魔之间作出这一世的选择。,加入太清宗或幽冥教。,灵石 ×80、宗门贡献 ×100,sect,1,80,0
15,百艺相生,第三章 · 破境远行,百艺相生,一门技艺只能谋一时之便，诸艺相合才能供养长生。采来材料，再将它变成真正能用的东西。,采集杂学达到5级、加工3次、任意项目熟练2星。,灵石 ×60、天地精粹 ×2,craft,12,60,0
16,符阵护道,第三章 · 破境远行,符阵护道,符为一时之术，阵为一地之势。真正危险的地方，不会只考验你的兵刃。,制作任意符箓1张，并布置、启用任意阵法。,灵石 ×80、护身符 ×2、神行符 ×2,formation,1,80,0
17,葬剑渊,第四章 · 险地绝境,葬剑渊,野外妖物已难以磨砺你。葬剑渊中剑意不散，亡魂不宁。若要继续前行，便去那里带回一场胜利。,达到炼气期十二层，并在葬剑渊获胜1次。,灵石 ×120、珍品装备 ×1、修为经验 ×400,map:10,1,120,400
18,三处险地,第四章 · 险地绝境,三处险地,剑渊只是开始。毒沼蚀骨，雷坑炼身。修行人若只走安全的路，终究看不到更高的山。,葬剑渊、万毒沼、玄雷天坑各获胜3次。,灵石 ×300、三门功法各提升1层、珍品装备 ×2,three_danger,3,300,0
19,绝境问心,第四章 · 险地绝境,绝境问心,前方已不是寻常历练之地。每一位绝境之主都守着一枚破境丹，往后的大境界，都要靠你亲手去取。,达到炼气期十二层，并击败任意绝境Boss。,灵石 ×500、珍品装备 ×3、称号“无为问道”,bosses,1,500,0
20,老人远去,尾声,老人远去,能教你的，都已教过了。闭关也好，历练也好，百艺也好，不过是渡河的筏。往后的路，不必再问老夫。,领取最终传承。,无字旧简、永久闭关收益 +5%,level,13,0,0
