id,skill,name,image,desc,unlock,duration,kind,output,rare,result,slot,def,hp,atk,effect
fishing_spirit_crucian,fishing,青溪灵鲫,fishing_spirit_crucian.png,青溪常见灵鱼，可入膳补益气血。,1,8.0,gather,spirit_crucian,stream_dew,spirit_crucian,,,,,
fishing_mystic_turtle,fishing,寒潭玄鳖,fishing_mystic_turtle.png,栖于寒潭深处，甲壳可作炼器辅材。,10,13.0,gather,mystic_shell,cold_marrow,mystic_shell,,,,,
fishing_cloud_koi,fishing,云海锦鲤,fishing_cloud_koi.png,游于云瀑之间，难得一见的祥瑞灵鱼。,20,18.0,gather,cloud_scale,cloud_pearl,cloud_scale,,,,,
fishing_green_scale_crucian,fishing,青鳞鲫,fishing_green_scale_crucian.png,鳞色青碧，常见于灵气充沛的浅溪。,30,23.0,gather,green_scale_crucian,heavenly_essence,green_scale_crucian,,,,,
fishing_moon_carp,fishing,月纹鲤,fishing_moon_carp.png,银鳞生有月纹，可作月华酒引。,40,28.0,gather,moon_carp,heavenly_essence,moon_carp,,,,,
fishing_silver_fish,fishing,寒潭银鱼,fishing_silver_fish.png,通体如银，体内蕴有寒潭清气。,50,34.0,gather,silver_fish,heavenly_essence,silver_fish,,,,,
fishing_redtail_loach,fishing,赤尾灵鳅,fishing_redtail_loach.png,尾带赤色，血气温热而绵长。,60,40.0,gather,redtail_loach,heavenly_essence,redtail_loach,,,,,
fishing_jade_crab,fishing,碧眼灵蟹,fishing_jade_crab.png,双眼碧绿，甲壳是炼器辅材。,70,47.0,gather,jade_crab,heavenly_essence,jade_crab,,,,,
fishing_dream_koi,fishing,云梦锦鲤,fishing_dream_koi.png,游弋如梦，象征难得的祥瑞机缘。,80,55.0,gather,dream_koi,heavenly_essence,dream_koi,,,,,
fishing_dragon_carp,fishing,玄水龙鲤,fishing_dragon_carp.png,身具微薄龙血，是高阶丹酒珍材。,90,65.0,gather,dragon_carp,heavenly_essence,dragon_carp,,,,,
herb_dew_grass,herbalism,凝露草,herb_dew_grass.png,叶尖凝聚晨露，是温和的回气药引。,1,6.0,gather,dew_grass,centennial_dew,dew_grass,,,,,
herb_sun_flower,herbalism,赤阳花,herb_sun_flower.png,吸纳日华生长，蕴含精纯火属药力。,10,11.0,gather,sun_flower,sun_heart,sun_flower,,,,,
herb_yin_lingzhi,herbalism,玄阴芝,herb_yin_lingzhi.png,阴寒之地生长，可调和躁烈丹性。,20,17.0,gather,yin_lingzhi,ancient_yin_lingzhi,yin_lingzhi,,,,,
herb_clearheart_grass,herbalism,清心草,herb_clearheart_grass.png,草叶清凉，可安定心神与气息。,30,22.0,gather,clearheart_grass,heavenly_essence,clearheart_grass,,,,,
herb_spirit_flower,herbalism,聚灵花,herb_spirit_flower.png,花蕊聚气，是修炼类丹药常用药引。,40,27.0,gather,spirit_flower,heavenly_essence,spirit_flower,,,,,
herb_blood_ginseng,herbalism,赤血参,herb_blood_ginseng.png,根须赤红，药性厚重，可壮养气血。,50,33.0,gather,blood_ginseng,heavenly_essence,blood_ginseng,,,,,
herb_moon_ganoderma,herbalism,月华芝,herb_moon_ganoderma.png,夜间凝聚月华，可温养神识。,60,39.0,gather,moon_ganoderma,heavenly_essence,moon_ganoderma,,,,,
herb_frost_lotus,herbalism,寒髓莲,herb_frost_lotus.png,生于冰寒灵潭，能平复燥烈药力。,70,46.0,gather,frost_lotus,heavenly_essence,frost_lotus,,,,,
herb_violet_vine,herbalism,紫霄藤,herb_violet_vine.png,受雷霆淬炼而生，藤脉蕴有雷意。,80,54.0,gather,violet_vine,heavenly_essence,violet_vine,,,,,
herb_nineleaf_flower,herbalism,九叶仙葩,herb_nineleaf_flower.png,九叶齐展，是顶级丹酒的核心药材。,90,64.0,gather,nineleaf_flower,heavenly_essence,nineleaf_flower,,,,,
mining_red_copper,mining,赤铜矿,mining_red_copper.png,常见炼器矿材，适合锻造低阶法器。,1,9.0,gather,red_copper,red_copper_essence,red_copper,,,,,
